,Accuracy,F1,Accuracy,F1,Accuracy,F1
XGBoost,0.905109489,0.931578947,0.945255474,0.959128065,0.802919708,0.865
Linear SVM,0.788321168,0.861244019,0.846715328,0.891752577,0.693430657,0.806451613
Poly. SVM,0.817518248,0.867724868,0.806569343,0.858666667,0.704379562,0.775623269
RBF SVM,0.828467153,0.875331565,0.813868613,0.863270777,0.711678832,0.789333333
Logistic Lasso,0.821167883,0.87960688,0.843065693,0.893300248,0.711678832,0.802992519
PLS + RBF SVM,0.832116788,0.880208333,0.832116788,0.881443299,0.715328467,0.785714286
PLS + Linear SVM,0.854014599,0.892473118,0.905109489,0.928961749,0.740875912,0.809651475
PLS + Poly. SVM,0.886861314,0.919480519,0.897810219,0.92746114,0.682481752,0.772845953
PLS + Logistic,0.770072993,0.820512821,0.908759124,0.934383202,0.689781022,0.773333333
Stacking: Logistic + XGB,0.777372263,0.82111437,0.905109489,0.931578947,0.708029197,0.790575916
Stacking: All,0.868613139,0.900552486,0.897810219,0.922651934,0.744525547,0.807692308